Date Time,Identifier,Message
09:10:58:606,F0:F8:F2:DA:2D:0D,"AoA: Angle=-14, Ant=2, Channel=6, RSSI=-68"
09:10:59:173,F0:F8:F2:DA:2D:0D,"AoA: Angle=-11, Ant=2, Channel=22, RSSI=-71"
09:10:59:262,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-63"
09:10:59:289,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-71"
09:10:59:366,F0:F8:F2:DA:06:D9,"CCI: Channel=30, RSSI=-62"
09:10:59:382,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-68"
09:10:59:541,F0:F8:F2:DA:2D:0D,"AoA: Angle=-21, Ant=2, Channel=8, RSSI=-68"
09:10:59:625,F0:F8:F2:DA:06:D9,"CCI: Channel=1, RSSI=-65"
09:10:59:640,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-69"
09:10:59:939,F0:F8:F2:DA:2D:0D,"AoA: Angle=-19, Ant=1, Channel=9, RSSI=-68"
09:11:00:354,F0:F8:F2:DA:2D:0D,"AoA: Angle=-12, Ant=1, Channel=32, RSSI=-68"
09:11:00:442,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-63"
09:11:00:470,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-68"
09:11:00:563,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-68"
09:11:00:969,F0:F8:F2:DA:2D:0D,"AoA: Angle=-11, Ant=1, Channel=11, RSSI=-68"
09:11:01:337,F0:F8:F2:DA:2D:0D,"AoA: Angle=-4, Ant=2, Channel=19, RSSI=-71"
09:11:01:639,F0:F8:F2:DA:2D:0D,"CCI: Channel=5, RSSI=-69"
09:11:01:675,F0:F8:F2:DA:06:D9,"CCI: Channel=5, RSSI=-65"
09:11:01:722,F0:F8:F2:DA:06:D9,"CCI: Channel=20, RSSI=-66"
09:11:01:757,F0:F8:F2:DA:2D:0D,"CCI: Channel=20, RSSI=-68"
09:11:01:767,F0:F8:F2:DA:2D:0D,"AoA: Angle=-5, Ant=1, Channel=20, RSSI=-68"
09:11:02:298,F0:F8:F2:DA:2D:0D,"AoA: Angle=-6, Ant=1, Channel=6, RSSI=-69"
09:11:02:672,F0:F8:F2:DA:2D:0D,"AoA: Angle=-3, Ant=2, Channel=7, RSSI=-68"
09:11:02:939,F0:F8:F2:DA:2D:0D,"CCI: Channel=15, RSSI=-69"
09:11:02:957,F0:F8:F2:DA:06:D9,"CCI: Channel=15, RSSI=-63"
09:11:03:380,F0:F8:F2:DA:2D:0D,"CCI: Channel=30, RSSI=-69"
09:11:03:361,F0:F8:F2:DA:2D:0D,"CCI: Channel=1, RSSI=-71"
09:11:03:385,F0:F8:F2:DA:06:D9,"CCI: Channel=1, RSSI=-66"
09:11:03:474,F0:F8:F2:DA:2D:0D,"AoA: Angle=-2, Ant=2, Channel=16, RSSI=-71"
09:11:03:889,F0:F8:F2:DA:2D:0D,"AoA: Angle=-10, Ant=1, Channel=24, RSSI=-67"
09:11:04:139,F0:F8:F2:DA:06:D9,"CCI: Channel=10, RSSI=-63"
09:11:04:165,F0:F8:F2:DA:2D:0D,"CCI: Channel=10, RSSI=-68"
09:11:04:314,F0:F8:F2:DA:06:D9,"CCI: Channel=25, RSSI=-63"
09:11:04:340,F0:F8:F2:DA:2D:0D,"AoA: Angle=-13, Ant=1, Channel=10, RSSI=-68"
09:11:04:347,F0:F8:F2:DA:2D:0D,"CCI: Channel=25, RSSI=-70"
09:11:04:674,F0:F8:F2:DA:2D:0D,"AoA: Angle=-14, Ant=2, Channel=11, RSSI=-68"
09:11:05:247,F0:F8:F2:DA:2D:0D,"AoA: Angle=-3, Ant=1, Channel=12, RSSI=-68"
